coverage	n
1	12016
2	2221
3	434
4	168
5	205
6	155
7	282
8	144
9	152
10	86
11	96
12	264
13	149
14	239
15	243
16	147
17	160
18	301
19	172
20	160
21	179
22	163
23	191
24	163
25	154
26	154
27	178
28	136
29	124
30	231
31	228
32	138
33	170
34	185
35	235
36	136
37	247
38	203
39	199
40	130
41	162
42	217
43	214
44	188
45	295
46	228
47	202
48	207
49	204
50	158
51	141
52	184
53	219
54	204
55	234
56	183
57	216
58	226
59	187
60	147
61	236
62	220
63	210
64	230
65	180
66	171
67	186
68	206
69	202
70	210
71	178
72	208
73	197
74	213
75	215
76	210
77	222
78	241
79	209
80	228
81	203
82	223
83	257
84	243
85	246
86	283
87	249
88	304
89	311
90	365
91	387
92	436
93	444
94	424
95	577
96	621
97	718
98	817
99	889
100	920
101	1053
102	1213
103	1410
104	1642
105	1917
106	2403
107	2684
108	3152
109	3779
110	4077
111	4710
112	5301
113	6105
114	6914
115	7852
116	8644
117	9839
118	10633
119	11606
120	12970
121	13902
122	15105
123	16226
124	17750
125	18701
126	19918
127	21421
128	22570
129	23975
130	24981
131	26596
132	27283
133	28759
134	29726
135	30257
136	30833
137	31364
138	31953
139	32642
140	33180
141	33719
142	34103
143	34205
144	34525
145	34716
146	34795
147	34889
148	34411
149	34340
150	34186
151	33532
152	33222
153	33069
154	32616
155	32658
156	32364
157	32016
158	31293
159	30940
160	30647
161	30485
162	30151
163	29900
164	29630
165	29449
166	29134
167	28792
168	28625
169	28651
170	28790
171	28071
172	28083
173	28269
174	28268
175	28058
176	27818
177	27986
178	27659
179	27682
180	27262
181	27055
182	26913
183	26379
184	25754
185	25621
186	25339
187	24912
188	24338
189	23700
190	23226
191	22888
192	22297
193	22068
194	21226
195	20820
196	20571
197	19920
198	18955
199	18311
200	17975
201	16584
202	16181
203	15600
204	14895
205	13976
206	13393
207	12769
208	12044
209	11266
210	10885
211	10270
212	9675
213	8896
214	8348
215	7680
216	7214
217	6521
218	6117
219	5635
220	5068
221	4697
222	4406
223	3917
224	3641
225	3076
226	2817
227	2504
228	2358
229	2068
230	1808
231	1595
232	1499
233	1289
234	1120
235	1028
236	883
237	823
238	759
239	645
240	597
241	549
242	466
243	423
244	325
245	301
246	245
247	184
248	175
249	120
250	136
251	84
252	94
253	64
254	65
255	63
256	47
257	40
258	43
259	22
260	21
261	30
262	30
263	34
264	22
265	29
266	22
267	19
268	22
269	25
270	29
271	19
272	22
273	30
274	35
275	32
276	32
277	29
278	14
279	13
280	26
281	28
282	23
283	29
284	26
285	18
286	26
287	26
288	25
289	38
290	38
291	23
292	28
293	21
294	38
295	23
296	27
297	33
298	31
299	43
300	35
301	49
302	38
303	31
304	32
305	35
306	28
307	34
308	30
309	36
310	44
311	46
312	56
313	38
314	47
315	42
316	34
317	37
318	35
319	37
320	43
321	32
322	51
323	38
324	34
325	34
326	29
327	37
328	21
329	30
330	22
331	24
332	31
333	19
334	33
335	20
336	18
337	13
338	15
339	30
340	17
341	23
342	22
343	12
344	14
345	28
346	21
347	21
348	14
349	26
350	18
351	19
352	20
353	34
354	15
355	18
356	17
357	18
358	14
359	15
360	11
361	12
362	6
363	4
364	11
365	10
366	6
367	16
368	9
369	11
370	8
371	12
372	5
373	4
374	7
375	6
376	8
377	9
378	6
379	8
380	3
381	3
382	5
383	5
384	9
385	8
386	7
387	10
388	11
389	7
390	7
391	6
392	4
393	5
394	4
395	3
396	3
397	5
398	1
399	4
400	4
401	5
402	5
403	7
404	2
405	6
406	5
407	5
408	6
409	4
410	6
411	6
412	9
413	8
414	7
415	8
416	4
417	11
418	5
419	4
420	13
421	10
422	5
423	6
424	2
425	4
426	4
427	6
428	8
429	4
430	7
431	13
432	10
433	11
434	10
435	5
436	4
437	6
438	7
439	5
440	6
441	7
442	9
443	2
444	4
445	5
446	8
447	2
448	3
449	1
450	4
451	4
452	3
453	2
454	4
455	3
456	1
457	0
458	1
459	0
460	0
461	1
462	0
463	1
464	0
465	0
466	1
467	1
468	0
469	1
470	0
471	0
472	0
473	1
474	1
475	1
476	0
477	0
478	0
479	0
480	1
481	1
482	0
483	1
484	1
485	1
486	1
487	1
488	0
489	1
490	1
491	0
492	1
493	1
494	1
495	0
496	1
497	1
498	3
499	0
500	1
501	0
502	1
503	0
504	2
505	0
506	0
507	1
508	0
509	0
510	0
511	2
512	1
513	0
514	1
515	1
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	1
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
600	0
601	0
602	0
603	0
604	0
605	0
606	0
607	0
608	0
609	0
610	0
611	0
612	0
613	0
614	0
615	0
616	0
617	0
618	0
619	0
620	0
621	0
622	0
623	0
624	0
625	0
626	0
627	0
628	0
629	0
630	0
631	0
632	0
633	0
634	0
635	0
636	0
637	0
638	0
639	0
640	0
641	0
642	0
643	1
644	0
645	0
646	0
647	0
648	0
649	1
650	0
651	0
652	1
653	0
654	1
655	0
656	0
657	1
658	0
659	0
660	0
661	1
662	0
663	0
664	1
665	1
666	0
667	0
668	0
669	0
670	2
671	1
672	1
673	0
674	0
675	0
676	1
677	0
678	0
679	2
680	0
681	1
682	2
683	0
684	0
685	0
686	1
687	1
688	0
689	0
690	0
691	1
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	2
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	1
708	0
709	0
710	0
711	0
712	0
713	1
714	0
715	0
716	0
717	2
718	2
719	1
720	0
721	0
722	0
723	0
724	0
725	0
726	1
727	0
728	1
729	0
730	0
731	1
732	0
733	0
734	1
735	1
736	2
737	0
738	4
739	1
740	4
741	3
742	0
743	1
744	0
745	0
746	0
747	1
748	1
749	1
750	0
751	0
752	2
753	0
754	1
755	2
756	0
757	3
758	4
759	1
760	5
761	2
762	5
763	4
764	5
765	0
766	0
767	2
768	3
769	0
770	1
771	4
772	4
773	4
774	5
775	6
776	2
777	4
778	4
779	2
780	6
781	4
782	3
783	3
784	7
785	8
786	4
787	5
788	2
789	2
790	1
791	2
792	1
793	3
794	0
795	1
796	4
797	6
798	3
799	4
800	4
801	3
802	3
803	0
804	2
805	0
806	3
807	0
808	1
809	1
810	3
811	4
812	6
813	4
814	1
815	1
816	1
817	1
818	1
819	3
820	2
821	1
822	1
823	1
824	0
825	1
826	0
827	2
828	1
829	2
830	0
831	0
832	0
833	0
834	1
835	0
836	1
837	1
838	0
839	1
840	1
841	0
842	2
843	2
844	1
845	1
846	0
847	0
848	0
849	0
850	1
851	0
852	0
853	0
854	3
855	1
856	1
857	0
858	0
859	3
860	0
861	0
862	1
863	0
864	0
865	0
866	0
867	0
868	0
869	0
870	0
871	1
872	0
873	1
874	0
875	0
876	1
877	0
878	1
879	2
880	2
881	0
882	1
883	1
884	0
885	0
886	0
887	2
888	0
889	1
890	3
891	2
892	2
893	0
894	1
895	2
896	3
897	2
898	5
899	6
900	6
901	3
902	7
903	5
904	2
905	3
906	8
907	6
908	2
909	4
910	2
911	4
912	5
913	1
914	6
915	1
916	5
917	4
918	1
919	2
920	0
921	3
922	1
923	0
924	2
925	1
926	1
927	0
928	0
929	0
930	0
931	0
932	2
933	0
934	3
935	0
936	3
937	1
938	7
939	0
940	0
941	0
942	1
943	0
944	2
945	3
946	1
947	0
948	0
949	0
950	0
951	0
952	0
953	0
954	0
955	0
956	0
957	0
958	0
959	0
960	0
961	0
962	0
963	0
964	0
965	0
966	0
967	0
968	0
969	0
970	0
971	0
972	0
973	0
974	0
975	0
976	0
977	0
978	0
979	0
980	0
981	0
982	0
983	0
984	0
985	0
986	0
987	0
988	0
989	0
990	0
991	0
992	0
993	0
994	0
995	0
996	0
997	0
998	0
999	0
1000	0
