# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_frameshift_variant+missense_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_missense_variant	variants_effect_missense_variant+disruptive_inframe_deletion	variants_effect_start_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
SAOUHSC_00025	SAOUHSC_00025	YP_498631.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00026	SAOUHSC_00026	YP_498632.1		0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
SAOUHSC_00027	SAOUHSC_00027	YP_498633.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00028	SAOUHSC_00028	YP_498634.1		0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5000
SAOUHSC_00029	SAOUHSC_00029	YP_498635.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00030	SAOUHSC_00030	YP_498636.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00031	SAOUHSC_00031	YP_498637.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00032	SAOUHSC_00032	YP_498638.1		0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0
SAOUHSC_00033	SAOUHSC_00033	YP_498639.1		0	0	0	3	2	0	0	0	0	0	0	0	0	1	2	0	5000	0	0	0	0	0	0	1	0	5000
SAOUHSC_00034	SAOUHSC_00034	YP_498640.1		0	0	0	3	2	0	0	0	0	0	0	0	0	1	2	0	5000	0	0	0	0	0	0	1	0	5000
SAOUHSC_00035	SAOUHSC_00035	YP_498641.1		0	0	0	3	1	0	0	0	0	0	0	0	0	2	1	0	5000	0	0	0	0	0	0	2	0	5000
SAOUHSC_00036	SAOUHSC_00036	YP_498642.1		0	0	0	3	1	0	0	0	0	0	0	0	0	2	1	0	5000	0	0	0	0	0	0	2	0	5000
SAOUHSC_00037	SAOUHSC_00037	YP_498643.1		0	0	0	3	1	0	0	0	0	0	0	0	0	2	1	0	5000	0	0	0	0	0	0	2	0	5000
SAOUHSC_00038	SAOUHSC_00038	YP_498644.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
SAOUHSC_00039	SAOUHSC_00039	YP_498645.1		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	933	0	0	0	0	0	0
SAOUHSC_00040	SAOUHSC_00040	YP_498646.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5000
