# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant+splice_region_variant	variants_effect_exon_loss_variant+start_lost+splice_region_variant	variants_effect_frameshift_variant	variants_effect_frameshift_variant+missense_variant	variants_effect_frameshift_variant+splice_region_variant	variants_effect_frameshift_variant+start_lost	variants_effect_frameshift_variant+start_lost+splice_region_variant	variants_effect_frameshift_variant+stop_gained	variants_effect_frameshift_variant+stop_gained+synonymous_variant	variants_effect_frameshift_variant+stop_lost+splice_region_variant	variants_effect_frameshift_variant+synonymous_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_missense_variant	variants_effect_missense_variant+disruptive_inframe_deletion	variants_effect_missense_variant+inframe_deletion	variants_effect_splice_region_variant+stop_retained_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost+inframe_deletion+splice_region_variant	variants_effect_stop_lost+splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
SAOUHSC_00002	SAOUHSC_00002	YP_498610.1		0	3	0	18	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	8	0	5000	3	0	1134	0	0	0	0	0	0	10	0	2155
SAOUHSC_00003	SAOUHSC_00003	YP_498611.1		0	0	0	22	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	7	0	5000	0	0	0	0	0	0	0	0	0	15	0	3669
SAOUHSC_00005	SAOUHSC_00005	YP_498613.1		0	1	0	27	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	12	0	5000	1	0	1935	0	0	0	0	0	0	15	0	5000
SAOUHSC_00006	SAOUHSC_00006	YP_498614.1		0	7	0	41	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	35	0	5000	7	0	2664	0	0	0	0	0	0	6	0	5000
SAOUHSC_00007	SAOUHSC_00007	YP_498615.1		0	0	0	60	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	8	0	5000	0	0	0	0	0	0	0	0	0	52	0	5000
SAOUHSC_00008	SAOUHSC_00008	YP_498616.1		0	7	3	66	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	8	58	0	5000	10	0	1515	0	0	0	0	0	0	8	0	5000
SAOUHSC_00009	SAOUHSC_00009	YP_498617.1		0	1	2	82	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	16	66	0	5000	3	0	1287	0	0	0	0	0	0	16	0	5000
SAOUHSC_00010	SAOUHSC_00010	YP_498618.1		0	11	4	73	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	11	37	36	0	5000	15	0	696	0	0	0	0	0	0	37	0	5000
SAOUHSC_00012	SAOUHSC_00012	YP_498619.1		0	1	0	87	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	35	0	5000	1	0	330	0	0	0	0	0	0	52	0	5000
SAOUHSC_00013	SAOUHSC_00013	YP_498620.1		0	6	1	87	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	55	32	0	5000	7	0	969	0	0	0	0	0	0	55	0	5000
