# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant+splice_region_variant	variants_effect_frameshift_variant	variants_effect_frameshift_variant+missense_variant	variants_effect_frameshift_variant+stop_lost+splice_region_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_inframe_insertion+synonymous_variant	variants_effect_missense_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
SAOUHSC_00021	SAOUHSC_00021	YP_498627.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00022	SAOUHSC_00022	YP_498628.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00023	SAOUHSC_00023	YP_498629.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00024	SAOUHSC_00024	YP_498630.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00025	SAOUHSC_00025	YP_498631.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00026	SAOUHSC_00026	YP_498632.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00027	SAOUHSC_00027	YP_498633.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00028	SAOUHSC_00028	YP_498634.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
SAOUHSC_00029	SAOUHSC_00029	YP_498635.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
SAOUHSC_00030	SAOUHSC_00030	YP_498636.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	5000
