ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
0.999934	0.431034	0.793755	2239470
0.996812	6.38312e-20	2.87605e-18	8.11437e-12
1	5.91158e-17	2.2681e-15	6.39912e-09
1	1.19266e-16	4.49218e-15	1.26741e-08
1	1.51048e-21	7.39257e-20	2.08571e-13
1	1	1	2821360
1	0.488764	0.838658	2366160
1	0.499481	0.846213	2387470
1	0.0872764	0.300115	846733
0.000440386	0.579696	0.00236734	6679.11
1	0.49816	0.845295	2384880
0.317237	1	0.681459	1922640
0.652057	1	0.930892	2626380
0.948342	1	0.998642	2817530
0.241617	1	0.584811	1649960
0.88315	1	0.99289	2801300
0.261452	1	0.612191	1727210
0.964813	1	0.999374	2819590
0.258749	1	0.608551	1716940
0.933642	1	0.997748	2815010
0.967422	1	0.999463	2819850
1	1	1	2821360
0.997343	1	0.999996	2821350
1	1	1	2821360
0.999711	1	1	2821360
0.964259	0.497076	0.831798	2346800
1	1	1	2821360
0.589592	0.292387	0.475449	1341410
0.272935	0.292387	0.281559	794380
1	0.425414	0.789012	2226090
1	0.469613	0.824568	2326410
0.999737	0.457143	0.814882	2299080
1	1	1	2821360
1	0.49162	0.840694	2371900
0.999838	1	1	2821360
0.577505	1	0.894577	2523930
0.925988	1	0.997191	2813440
0.999914	0.48366	0.834947	2355690
0.283905	1	0.641374	1809550
0.565196	1	0.887687	2504490
0.70165	0.497887	0.716746	2022200
0.93555	0.393939	0.736429	2077730
0.977812	1	0.999752	2820660
1	1	1	2821360
1	0.492228	0.841126	2373120
0.235871	1	0.576579	1626740
0.999941	1	1	2821360
0.997735	0.500986	0.846471	2388200
0.996894	0.47191	0.825196	2328180
1	1	1	2821360
0.910342	0.493827	0.80897	2282400
1	0.480769	0.832869	2349820
1	1	1	2821360
0.999937	1	1	2821360
0.999422	0.485876	0.836379	2359730
1	1	1	2821360
0.999928	0.491018	0.840241	2370620
0.998425	1	0.999999	2821360
0.999652	1	1	2821360
0.99388	1	0.999981	2821310
0.949809	0.445714	0.787237	2221080
0.835	0.44385	0.738484	2083530
0.96734	1	0.999461	2819840
0.996651	1	0.999994	2821350
1	1	1	2821360
1	1	1	2821360
0.910856	0.447514	0.773427	2182120
1	0.416216	0.781051	2203630
1	1	1	2821360
0.999661	0.428571	0.791576	2233320
1	0.497277	0.844679	2383140
1	1	1	2821360
1	1	1	2821360
0.153247	1	0.440694	1243360
0.943991	1	0.998401	2816850
0.999939	0.456044	0.814092	2296850
1	0.49711	0.844562	2382810
1	0.483333	0.83474	2355100
0.997434	1	0.999997	2821350
1	1	1	2821360
0.987209	1	0.999918	2821130
0.998887	0.482353	0.833635	2351980
0.945094	0.495244	0.823386	2323070
0.990244	0.495244	0.839835	2369480
0.993745	0.495244	0.841068	2372960
0.500692	0.495244	0.593743	1675160
0.912775	0.716092	0.931563	2628280
0.922979	0.695933	0.92666	2614440
0.744245	0.67942	0.850461	2399460
0.996272	0.258177	0.606472	1711080
0.999708	1	1	2821360
0.995918	0.0294486	0.132834	374773
0.0675231	0.124117	0.0484559	136712
0.798173	0.0865495	0.2537	715778
0.959134	0.0898657	0.297467	839262
0.294745	0.0563642	0.0846861	238930
0.358432	0.0839615	0.135528	382374
0.0619711	0.0842536	0.0326592	92143.5
0.796693	0.0541588	0.178767	504366
0.60873	0.082895	0.201165	567558
0.708337	0.116745	0.288819	814863
0.81143	0.0561313	0.186241	525453
0.510277	0.05501	0.128367	362169
0.909506	0.0821477	0.268528	757615
0.877714	0.127933	0.357828	1009560
0.592954	0.130331	0.275143	776276
0.274362	0.185874	0.202762	572066
0.576531	0.248438	0.421573	1189410
0.205622	0.359956	0.266712	752491
0.882293	0.355034	0.67685	1909640
0.393191	0.355034	0.414461	1169340
0.346648	0.796815	0.631586	1781930
0.98584	0.488246	0.833282	2350990
0.194454	0.488471	0.318584	898840
0.104264	0.365733	0.162701	459038
0.439564	0.359031	0.449198	1267350
0.700175	0.357625	0.597128	1684710
0.786804	0.25631	0.524562	1479980
0.689185	0.251368	0.476942	1345620
0.118867	0.177943	0.102713	289790
0.32184	0.17408	0.21749	613616
0.16757	0.171876	0.130969	369511
0.670998	0.171424	0.363779	1026350
0.782766	0.173692	0.407254	1149010
0.955429	0.747197	0.954491	2692960
0.680514	0.84197	0.892071	2516850
0.0824531	0.424873	0.152442	430093
0.908132	0.254573	0.569766	1607510
0.998137	0.469697	0.82397	2324720
0.0489375	0.738034	0.156063	440310
0.843932	0.457385	0.753442	2125730
1	2.65745e-31	1.89749e-29	5.3535e-23
0.996352	3.65783e-13	1.08024e-11	3.04775e-05
1	0.00189681	0.0137852	38893.1
1	5.79591e-09	1.15722e-07	0.326493
1	0.0305299	0.13705	386668
0.985142	0.461929	0.813345	2294740
1	9.8041e-32	7.09816e-30	2.00265e-23
1	1.78458e-24	9.93704e-23	2.8036e-16
1	7.52736e-25	4.25643e-23	1.20089e-16
0.995856	4.02956e-20	1.83236e-18	5.16975e-12
0.998013	3.95599e-10	8.94354e-09	0.025233
0.997826	0.84491	0.986987	2784650
0.145631	0.620124	0.307459	867453
0.901842	0.511735	0.818369	2308910
0.829805	0.878483	0.959414	2706850
0.436383	1	0.798247	2252140
0.91167	0.881292	0.979277	2762890
0.49527	0.697505	0.712635	2010600
0.730588	0.697505	0.853129	2406980
0.85483	0.47771	0.77409	2183990
0.521498	0.407041	0.541268	1527110
0.0739657	0.555635	0.172274	486047
0.94173	0.633304	0.904646	2552330
0.123168	0.343721	0.176206	497141
0.993955	0.351684	0.716973	2022840
0.854844	0.351684	0.661956	1867620
0.981631	0.27674	0.625684	1765280
0.552399	0.27674	0.439987	1241360
1	0.23704	0.578265	1631490
0.88442	0.294761	0.611171	1724330
0.695095	0.427187	0.657486	1855010
0.859045	0.427187	0.734851	2073280
0.995886	0.296031	0.654902	1847710
0.735784	0.295278	0.548944	1548770
0.395609	0.256445	0.333592	941182
0.743082	0.395874	0.654112	1845490
0.496636	0.349693	0.477697	1347760
0.134187	0.855454	0.363273	1024920
0.284817	0.856005	0.587907	1658700
0.810917	1	0.980877	2767410
0.941001	0.832206	0.974566	2749600
0.55572	0.754359	0.783666	2211000
0.209487	0.776446	0.458058	1292350
0.00873986	0.893435	0.0456995	128935
0.359832	0.296352	0.345326	974288
0.948638	0.111426	0.343231	968379
0.986844	0.0309304	0.137028	386605
2.24573e-07	0.0522799	2.26128e-07	0.637988
0.0639587	0.0520606	0.0223254	62988
0.168604	0.183678	0.138579	390981
0.999867	0.181532	0.491243	1385970
0.93215	0.146055	0.407624	1150050
0.993751	0.362782	0.728321	2054860
0.697562	0.643335	0.808341	2280620
0.914586	0.728455	0.936802	2643060
0.597516	0.548367	0.693254	1955920
0.551012	0.575567	0.681352	1922340
0.41924	1	0.78369	2211070
0.0143172	1	0.0751122	211919
0.259196	0.829388	0.545441	1538890
0.780745	1	0.973985	2747960
0.995803	0.825818	0.983193	2773940
0.957013	0.742078	0.953229	2689400
0.705238	0.744696	0.863408	2435990
0.545271	0.490883	0.620452	1750520
0.550335	0.641827	0.720803	2033650
0.0446711	0.728095	0.143947	406126
0.999989	0.642866	0.926893	2615100
1	0.361174	0.728992	2056750
0.195061	0.417104	0.285484	805452
0.450359	0.199402	0.306239	864012
0.541198	0.104145	0.218459	616353
0.932652	0.186591	0.478316	1349500
0.973026	0.0411114	0.168763	476141
0.958174	0.0411114	0.166793	470583
0.931428	0.0189062	0.088741	250370
0.663949	0.369928	0.590454	1665880
0.00147076	0.298468	0.00383273	10813.5
0.59695	0.711359	0.788355	2224230
0.563698	0.657099	0.738276	2082940
0.65008	0.482821	0.677578	1911690
0.119298	0.802338	0.320304	903693
0.983666	0.707258	0.948127	2675010
0.103359	0.890755	0.31167	879333
0.969894	1	0.999542	2820070
0.58444	1	0.898344	2534550
0.646905	0.503782	0.691287	1950370
0.118519	0.319482	0.161824	456564
0.414301	0.505983	0.537157	1515510
0.28071	0.435803	0.379358	1070310
0.842667	0.318067	0.620926	1751860
0.840081	0.173928	0.427144	1205130
0.999839	0.473214	0.82722	2333880
0.999002	0.433333	0.795346	2243960
0.999381	0.491228	0.8402	2370510
0.999913	0.493421	0.84194	2375420
1	1	1	2821360
1	1	1	2821360
1	0.447853	0.807609	2278560
1	1	1	2821360
0.999906	1	1	2821360
1	1	1	2821360
0.999923	0.45679	0.814672	2298480
1	0.207116	0.533215	1504390
0.999693	0.450617	0.809711	2284490
1	1	1	2821360
1	0.402778	0.769052	2169770
0.851812	0.470588	0.767297	2164820
0.587417	1	0.899935	2539040
1	1	1	2821360
0.991204	0.487952	0.834977	2355770
1	1	1	2821360
1	1	1	2821360
0.999939	0.494505	0.842714	2377600
1	0.491124	0.840342	2370910
0.9926	1	0.999973	2821280
1	0.252874	0.600541	1694340
1	0.493151	0.841779	2374960
0.999925	0.432927	0.79534	2243940
1	1	1	2821360
1	0.525862	0.863842	2437210
1	1	1	2821360
1	1	1	2821360
1	1	1	2821360
0.999601	1	1	2821360
1	0.461538	0.818395	2308990
0.630482	1	0.921305	2599330
0.320869	1	0.685607	1934350
0.244134	1	0.588373	1660010
0.563142	1	0.886511	2501170
0.999669	1	1	2821360
0.999937	0.49162	0.840673	2371840
0.903882	1	0.995225	2807890
0.909665	1	0.995791	2809490
1	4.59511e-32	3.36168e-30	9.48451e-24
0.997884	4.82899e-09	9.71018e-08	0.273959
1	2.64005e-14	8.51822e-13	2.4033e-06
0.991002	1	0.999959	2821250
0.896755	0.497354	0.806121	2274360
0.90992	0.471338	0.79196	2234410
0.926562	0.483221	0.807514	2278290
0.961516	0.465116	0.807097	2277110
0.312461	0.465116	0.425636	1200870
0.276649	0.465116	0.392517	1107430
0.999933	1	1	2821360
0.898755	0.460526	0.779014	2197880
0.167756	0.145511	0.11504	324568
0.335738	0.627955	0.539027	1520790
1	0.477778	0.830669	2343620
0.99979	1	1	2821360
1	1	1	2821360
1	0.469512	0.824492	2326190
0.999343	1	1	2821360
0.999935	1	1	2821360
1	0.497668	0.844952	2383910
1	1	1	2821360
0.558698	1	0.883942	2493920
0.938831	0.468571	0.801157	2260350
1	0.475138	0.828712	2338100
1	0.436047	0.797968	2251360
1	1	1	2821360
0.653588	1	0.931545	2628220
0.999471	0.464865	0.820767	2315680
0.999919	0.493671	0.842118	2375920
1	1	1	2821360
1	0.0162594	0.0832331	234831
0.986965	0.496894	0.839839	2369490
0.545918	1	0.876355	2472510
0.544937	1	0.87576	2470830
0.303819	1	0.665766	1878370
0.992169	1	0.999969	2821270
0.999945	1	1	2821360
1	0.485207	0.836099	2358940
0.958391	1	0.999122	2818880
0.93802	1	0.998038	2815830
0.56957	0.481481	0.629035	1774740
0.559155	1	0.884208	2494670
1	0.482558	0.834176	2353510
0.997375	1	0.999997	2821350
0.999913	1	1	2821360
0.999206	1	1	2821360
1	0.479452	0.831903	2347100
0.999941	0.497297	0.844672	2383130
0.999943	1	1	2821360
0.914435	1	0.99623	2810730
0.872749	1	0.991537	2797480
0.940819	1	0.998213	2816320
0.997908	1	0.999998	2821350
0.996428	1	0.999994	2821340
1	0.497006	0.844489	2382610
0.873705	0.457831	0.766525	2162640
1	0.47205	0.826404	2331580
0.988457	0.417722	0.77813	2195390
0.998817	0.495146	0.842773	2377770
1	1	1	2821360
1	1	1	2821360
1	0.449367	0.808823	2281980
0.998312	1	0.999999	2821360
1	1	1	2821360
0.999921	1	1	2821360
1	0.480769	0.832869	2349820
1	0.490323	0.839771	2369300
1	0.455696	0.813841	2296140
0.842231	0.792345	0.937248	2644320
0.990474	0.792345	0.974977	2750760
0.980797	1	0.999814	2820840
0.999941	0.491892	0.840867	2372390
0.572233	1	0.891658	2515690
0.428999	0.911416	0.758165	2139060
0.675134	0.693238	0.823368	2323020
0.999939	1	1	2821360
0.8485	1	0.987896	2787210
0.600714	0.458599	0.630649	1779290
0.90277	1	0.995112	2807570
0.275659	1	0.630871	1779910
0.652604	1	0.931126	2627040
0.992377	6.71555e-08	1.16786e-06	3.29494
1	0.494624	0.842818	2377890
1	0.494318	0.842603	2377290
1	0.496933	0.844438	2382460
0.832584	0.414201	0.712001	2008810
0.999931	1	1	2821360
1	1	1	2821360
0.771524	1	0.971648	2741370
0.185067	1	0.497281	1403010
0.998612	0.503106	0.848236	2393180
0.860316	1	0.989755	2792460
0.999441	1	1	2821360
0.999937	1	1	2821360
1	0.490066	0.839589	2368780
0.702953	0.795939	0.884413	2495250
0.999731	1	1	2821360
0.999934	0.497143	0.844562	2382810
0.999913	1	1	2821360
1	1	1	2821360
0.999627	1	1	2821360
1	0.442177	0.803013	2265590
1	1	1	2821360
0.954621	0.487342	0.821233	2316990
0.497219	0.486301	0.585068	1650690
0.996823	1	0.999995	2821350
1	0.487654	0.837863	2363910
0.91206	1	0.996015	2810120
1	1	1	2821360
1	0.47929	0.831784	2346760
1	1	1	2821360
0.649411	1	0.929755	2623170
0.714897	1	0.954829	2693920
1	0.460606	0.817673	2306950
0.999637	1	1	2821360
0.987281	1	0.999919	2821130
0.838734	0.496855	0.7815	2204890
